date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-12-13",nation,S92000003,Scotland,
"2020-12-12",nation,S92000003,Scotland,0
"2020-12-11",nation,S92000003,Scotland,0
"2020-12-10",nation,S92000003,Scotland,10
"2020-12-09",nation,S92000003,Scotland,19
"2020-12-08",nation,S92000003,Scotland,26
"2020-12-07",nation,S92000003,Scotland,27
"2020-12-06",nation,S92000003,Scotland,28
"2020-12-05",nation,S92000003,Scotland,19
"2020-12-04",nation,S92000003,Scotland,27
"2020-12-03",nation,S92000003,Scotland,33
"2020-12-02",nation,S92000003,Scotland,19
"2020-12-01",nation,S92000003,Scotland,27
"2020-11-30",nation,S92000003,Scotland,31
"2020-11-29",nation,S92000003,Scotland,26
"2020-11-28",nation,S92000003,Scotland,39
"2020-11-27",nation,S92000003,Scotland,22
"2020-11-26",nation,S92000003,Scotland,23
"2020-11-25",nation,S92000003,Scotland,32
"2020-11-24",nation,S92000003,Scotland,29
"2020-11-23",nation,S92000003,Scotland,30
"2020-11-22",nation,S92000003,Scotland,36
"2020-11-21",nation,S92000003,Scotland,33
"2020-11-20",nation,S92000003,Scotland,29
"2020-11-19",nation,S92000003,Scotland,26
"2020-11-18",nation,S92000003,Scotland,22
"2020-11-17",nation,S92000003,Scotland,36
"2020-11-16",nation,S92000003,Scotland,32
"2020-11-15",nation,S92000003,Scotland,33
"2020-11-14",nation,S92000003,Scotland,38
"2020-11-13",nation,S92000003,Scotland,35
"2020-11-12",nation,S92000003,Scotland,31
"2020-11-11",nation,S92000003,Scotland,35
"2020-11-10",nation,S92000003,Scotland,33
"2020-11-09",nation,S92000003,Scotland,38
"2020-11-08",nation,S92000003,Scotland,35
"2020-11-07",nation,S92000003,Scotland,35
"2020-11-06",nation,S92000003,Scotland,26
"2020-11-05",nation,S92000003,Scotland,37
"2020-11-04",nation,S92000003,Scotland,19
"2020-11-03",nation,S92000003,Scotland,33
"2020-11-02",nation,S92000003,Scotland,27
"2020-11-01",nation,S92000003,Scotland,34
"2020-10-31",nation,S92000003,Scotland,24
"2020-10-30",nation,S92000003,Scotland,35
"2020-10-29",nation,S92000003,Scotland,26
"2020-10-28",nation,S92000003,Scotland,25
"2020-10-27",nation,S92000003,Scotland,15
"2020-10-26",nation,S92000003,Scotland,29
"2020-10-25",nation,S92000003,Scotland,21
"2020-10-24",nation,S92000003,Scotland,19
"2020-10-23",nation,S92000003,Scotland,17
"2020-10-22",nation,S92000003,Scotland,17
"2020-10-21",nation,S92000003,Scotland,11
"2020-10-20",nation,S92000003,Scotland,16
"2020-10-19",nation,S92000003,Scotland,15
"2020-10-18",nation,S92000003,Scotland,21
"2020-10-17",nation,S92000003,Scotland,9
"2020-10-16",nation,S92000003,Scotland,16
"2020-10-15",nation,S92000003,Scotland,16
"2020-10-14",nation,S92000003,Scotland,6
"2020-10-13",nation,S92000003,Scotland,11
"2020-10-12",nation,S92000003,Scotland,7
"2020-10-11",nation,S92000003,Scotland,9
"2020-10-10",nation,S92000003,Scotland,10
"2020-10-09",nation,S92000003,Scotland,6
"2020-10-08",nation,S92000003,Scotland,11
"2020-10-07",nation,S92000003,Scotland,8
"2020-10-06",nation,S92000003,Scotland,3
"2020-10-05",nation,S92000003,Scotland,0
"2020-10-04",nation,S92000003,Scotland,3
"2020-10-03",nation,S92000003,Scotland,2
"2020-10-02",nation,S92000003,Scotland,1
"2020-10-01",nation,S92000003,Scotland,4
"2020-09-30",nation,S92000003,Scotland,4
"2020-09-29",nation,S92000003,Scotland,1
"2020-09-28",nation,S92000003,Scotland,3
"2020-09-27",nation,S92000003,Scotland,2
"2020-09-26",nation,S92000003,Scotland,2
"2020-09-25",nation,S92000003,Scotland,1
"2020-09-24",nation,S92000003,Scotland,2
"2020-09-23",nation,S92000003,Scotland,1
"2020-09-22",nation,S92000003,Scotland,2
"2020-09-21",nation,S92000003,Scotland,2
"2020-09-20",nation,S92000003,Scotland,3
"2020-09-19",nation,S92000003,Scotland,0
"2020-09-18",nation,S92000003,Scotland,1
"2020-09-17",nation,S92000003,Scotland,1
"2020-09-16",nation,S92000003,Scotland,0
"2020-09-15",nation,S92000003,Scotland,0
"2020-09-14",nation,S92000003,Scotland,3
"2020-09-13",nation,S92000003,Scotland,1
"2020-09-12",nation,S92000003,Scotland,0
"2020-09-11",nation,S92000003,Scotland,0
"2020-09-10",nation,S92000003,Scotland,0
"2020-09-09",nation,S92000003,Scotland,0
"2020-09-08",nation,S92000003,Scotland,0
"2020-09-07",nation,S92000003,Scotland,0
"2020-09-06",nation,S92000003,Scotland,0
"2020-09-05",nation,S92000003,Scotland,0
"2020-09-04",nation,S92000003,Scotland,1
"2020-09-03",nation,S92000003,Scotland,1
"2020-09-02",nation,S92000003,Scotland,1
"2020-09-01",nation,S92000003,Scotland,0
"2020-08-31",nation,S92000003,Scotland,0
"2020-08-30",nation,S92000003,Scotland,0
"2020-08-29",nation,S92000003,Scotland,0
"2020-08-28",nation,S92000003,Scotland,1
"2020-08-27",nation,S92000003,Scotland,0
"2020-08-26",nation,S92000003,Scotland,0
"2020-08-25",nation,S92000003,Scotland,0
"2020-08-24",nation,S92000003,Scotland,0
"2020-08-23",nation,S92000003,Scotland,1
"2020-08-22",nation,S92000003,Scotland,1
"2020-08-21",nation,S92000003,Scotland,0
"2020-08-20",nation,S92000003,Scotland,0
"2020-08-19",nation,S92000003,Scotland,1
"2020-08-18",nation,S92000003,Scotland,0
"2020-08-17",nation,S92000003,Scotland,0
"2020-08-16",nation,S92000003,Scotland,0
"2020-08-15",nation,S92000003,Scotland,0
"2020-08-14",nation,S92000003,Scotland,0
"2020-08-13",nation,S92000003,Scotland,0
"2020-08-12",nation,S92000003,Scotland,0
"2020-08-11",nation,S92000003,Scotland,0
"2020-08-10",nation,S92000003,Scotland,0
"2020-08-09",nation,S92000003,Scotland,0
"2020-08-08",nation,S92000003,Scotland,0
"2020-08-07",nation,S92000003,Scotland,0
"2020-08-06",nation,S92000003,Scotland,0
"2020-08-05",nation,S92000003,Scotland,0
"2020-08-04",nation,S92000003,Scotland,0
"2020-08-03",nation,S92000003,Scotland,0
"2020-08-02",nation,S92000003,Scotland,0
"2020-08-01",nation,S92000003,Scotland,0
"2020-07-31",nation,S92000003,Scotland,0
"2020-07-30",nation,S92000003,Scotland,0
"2020-07-29",nation,S92000003,Scotland,0
"2020-07-28",nation,S92000003,Scotland,0
"2020-07-27",nation,S92000003,Scotland,0
"2020-07-26",nation,S92000003,Scotland,0
"2020-07-25",nation,S92000003,Scotland,0
"2020-07-24",nation,S92000003,Scotland,0
"2020-07-23",nation,S92000003,Scotland,0
"2020-07-22",nation,S92000003,Scotland,0
"2020-07-21",nation,S92000003,Scotland,0
"2020-07-20",nation,S92000003,Scotland,0
"2020-07-19",nation,S92000003,Scotland,0
"2020-07-18",nation,S92000003,Scotland,0
"2020-07-17",nation,S92000003,Scotland,0
"2020-07-16",nation,S92000003,Scotland,0
"2020-07-15",nation,S92000003,Scotland,0
"2020-07-14",nation,S92000003,Scotland,0
"2020-07-13",nation,S92000003,Scotland,0
"2020-07-12",nation,S92000003,Scotland,0
"2020-07-11",nation,S92000003,Scotland,0
"2020-07-10",nation,S92000003,Scotland,0
"2020-07-09",nation,S92000003,Scotland,0
"2020-07-08",nation,S92000003,Scotland,0
"2020-07-07",nation,S92000003,Scotland,0
"2020-07-06",nation,S92000003,Scotland,0
"2020-07-05",nation,S92000003,Scotland,1
"2020-07-04",nation,S92000003,Scotland,0
"2020-07-03",nation,S92000003,Scotland,1
"2020-07-02",nation,S92000003,Scotland,0
"2020-07-01",nation,S92000003,Scotland,0
"2020-06-30",nation,S92000003,Scotland,0
"2020-06-29",nation,S92000003,Scotland,1
"2020-06-28",nation,S92000003,Scotland,0
"2020-06-27",nation,S92000003,Scotland,4
"2020-06-26",nation,S92000003,Scotland,0
"2020-06-25",nation,S92000003,Scotland,0
"2020-06-24",nation,S92000003,Scotland,1
"2020-06-23",nation,S92000003,Scotland,1
"2020-06-22",nation,S92000003,Scotland,3
"2020-06-21",nation,S92000003,Scotland,2
"2020-06-20",nation,S92000003,Scotland,3
"2020-06-19",nation,S92000003,Scotland,0
"2020-06-18",nation,S92000003,Scotland,3
"2020-06-17",nation,S92000003,Scotland,3
"2020-06-16",nation,S92000003,Scotland,6
"2020-06-15",nation,S92000003,Scotland,3
"2020-06-14",nation,S92000003,Scotland,4
"2020-06-13",nation,S92000003,Scotland,3
"2020-06-12",nation,S92000003,Scotland,2
"2020-06-11",nation,S92000003,Scotland,2
"2020-06-10",nation,S92000003,Scotland,5
"2020-06-09",nation,S92000003,Scotland,1
"2020-06-08",nation,S92000003,Scotland,5
"2020-06-07",nation,S92000003,Scotland,7
"2020-06-06",nation,S92000003,Scotland,3
"2020-06-05",nation,S92000003,Scotland,9
"2020-06-04",nation,S92000003,Scotland,2
"2020-06-03",nation,S92000003,Scotland,8
"2020-06-02",nation,S92000003,Scotland,6
"2020-06-01",nation,S92000003,Scotland,3
"2020-05-31",nation,S92000003,Scotland,6
"2020-05-30",nation,S92000003,Scotland,6
"2020-05-29",nation,S92000003,Scotland,11
"2020-05-28",nation,S92000003,Scotland,16
"2020-05-27",nation,S92000003,Scotland,16
"2020-05-26",nation,S92000003,Scotland,13
"2020-05-25",nation,S92000003,Scotland,14
"2020-05-24",nation,S92000003,Scotland,7
"2020-05-23",nation,S92000003,Scotland,9
"2020-05-22",nation,S92000003,Scotland,16
"2020-05-21",nation,S92000003,Scotland,23
"2020-05-20",nation,S92000003,Scotland,21
"2020-05-19",nation,S92000003,Scotland,28
"2020-05-18",nation,S92000003,Scotland,23
"2020-05-17",nation,S92000003,Scotland,26
"2020-05-16",nation,S92000003,Scotland,28
"2020-05-15",nation,S92000003,Scotland,24
"2020-05-14",nation,S92000003,Scotland,34
"2020-05-13",nation,S92000003,Scotland,42
"2020-05-12",nation,S92000003,Scotland,30
"2020-05-11",nation,S92000003,Scotland,31
"2020-05-10",nation,S92000003,Scotland,27
"2020-05-09",nation,S92000003,Scotland,34
"2020-05-08",nation,S92000003,Scotland,34
"2020-05-07",nation,S92000003,Scotland,39
"2020-05-06",nation,S92000003,Scotland,43
"2020-05-05",nation,S92000003,Scotland,50
"2020-05-04",nation,S92000003,Scotland,40
"2020-05-03",nation,S92000003,Scotland,36
"2020-05-02",nation,S92000003,Scotland,44
"2020-05-01",nation,S92000003,Scotland,48
"2020-04-30",nation,S92000003,Scotland,43
"2020-04-29",nation,S92000003,Scotland,37
"2020-04-28",nation,S92000003,Scotland,40
"2020-04-27",nation,S92000003,Scotland,60
"2020-04-26",nation,S92000003,Scotland,43
"2020-04-25",nation,S92000003,Scotland,47
"2020-04-24",nation,S92000003,Scotland,38
"2020-04-23",nation,S92000003,Scotland,48
"2020-04-22",nation,S92000003,Scotland,44
"2020-04-21",nation,S92000003,Scotland,50
"2020-04-20",nation,S92000003,Scotland,61
"2020-04-19",nation,S92000003,Scotland,44
"2020-04-18",nation,S92000003,Scotland,51
"2020-04-17",nation,S92000003,Scotland,37
"2020-04-16",nation,S92000003,Scotland,41
"2020-04-15",nation,S92000003,Scotland,41
"2020-04-14",nation,S92000003,Scotland,50
"2020-04-13",nation,S92000003,Scotland,39
"2020-04-12",nation,S92000003,Scotland,46
"2020-04-11",nation,S92000003,Scotland,52
"2020-04-10",nation,S92000003,Scotland,55
"2020-04-09",nation,S92000003,Scotland,63
"2020-04-08",nation,S92000003,Scotland,52
"2020-04-07",nation,S92000003,Scotland,47
"2020-04-06",nation,S92000003,Scotland,62
"2020-04-05",nation,S92000003,Scotland,44
"2020-04-04",nation,S92000003,Scotland,27
"2020-04-03",nation,S92000003,Scotland,57
"2020-04-02",nation,S92000003,Scotland,36
"2020-04-01",nation,S92000003,Scotland,44
"2020-03-31",nation,S92000003,Scotland,38
"2020-03-30",nation,S92000003,Scotland,27
"2020-03-29",nation,S92000003,Scotland,20
"2020-03-28",nation,S92000003,Scotland,29
"2020-03-27",nation,S92000003,Scotland,11
"2020-03-26",nation,S92000003,Scotland,11
"2020-03-25",nation,S92000003,Scotland,10
"2020-03-24",nation,S92000003,Scotland,7
"2020-03-23",nation,S92000003,Scotland,4
"2020-03-22",nation,S92000003,Scotland,5
"2020-03-21",nation,S92000003,Scotland,6
"2020-03-20",nation,S92000003,Scotland,5
"2020-03-19",nation,S92000003,Scotland,3
"2020-03-18",nation,S92000003,Scotland,0
"2020-03-17",nation,S92000003,Scotland,2
"2020-03-16",nation,S92000003,Scotland,1
"2020-03-15",nation,S92000003,Scotland,0
"2020-03-14",nation,S92000003,Scotland,2
"2020-03-13",nation,S92000003,Scotland,0
"2020-03-12",nation,S92000003,Scotland,1
"2020-03-11",nation,S92000003,Scotland,0
"2020-03-10",nation,S92000003,Scotland,0
"2020-03-09",nation,S92000003,Scotland,0
"2020-03-08",nation,S92000003,Scotland,0
"2020-03-07",nation,S92000003,Scotland,0
"2020-03-06",nation,S92000003,Scotland,0
"2020-03-05",nation,S92000003,Scotland,0
"2020-03-04",nation,S92000003,Scotland,0
"2020-03-03",nation,S92000003,Scotland,0
"2020-03-02",nation,S92000003,Scotland,0
"2020-03-01",nation,S92000003,Scotland,0
"2020-02-29",nation,S92000003,Scotland,0
"2020-02-28",nation,S92000003,Scotland,
"2020-02-27",nation,S92000003,Scotland,
"2020-02-26",nation,S92000003,Scotland,
"2020-02-25",nation,S92000003,Scotland,
"2020-02-24",nation,S92000003,Scotland,
"2020-02-23",nation,S92000003,Scotland,
"2020-02-22",nation,S92000003,Scotland,
"2020-02-21",nation,S92000003,Scotland,
"2020-02-20",nation,S92000003,Scotland,
"2020-02-19",nation,S92000003,Scotland,
"2020-02-18",nation,S92000003,Scotland,
"2020-02-17",nation,S92000003,Scotland,
"2020-02-16",nation,S92000003,Scotland,
"2020-02-15",nation,S92000003,Scotland,
"2020-02-14",nation,S92000003,Scotland,
"2020-02-13",nation,S92000003,Scotland,
"2020-02-12",nation,S92000003,Scotland,
"2020-02-11",nation,S92000003,Scotland,
"2020-02-10",nation,S92000003,Scotland,
"2020-02-09",nation,S92000003,Scotland,
"2020-02-08",nation,S92000003,Scotland,
"2020-02-07",nation,S92000003,Scotland,
"2020-02-06",nation,S92000003,Scotland,
"2020-02-05",nation,S92000003,Scotland,
"2020-02-04",nation,S92000003,Scotland,
"2020-02-03",nation,S92000003,Scotland,
"2020-02-02",nation,S92000003,Scotland,
"2020-02-01",nation,S92000003,Scotland,
"2020-01-31",nation,S92000003,Scotland,
"2020-01-30",nation,S92000003,Scotland,
"2020-01-29",nation,S92000003,Scotland,
"2020-01-28",nation,S92000003,Scotland,
"2020-01-27",nation,S92000003,Scotland,
"2020-01-26",nation,S92000003,Scotland,
"2020-01-25",nation,S92000003,Scotland,
"2020-01-24",nation,S92000003,Scotland,
"2020-01-23",nation,S92000003,Scotland,
"2020-01-22",nation,S92000003,Scotland,
"2020-01-21",nation,S92000003,Scotland,
"2020-01-20",nation,S92000003,Scotland,
"2020-01-19",nation,S92000003,Scotland,
"2020-01-18",nation,S92000003,Scotland,
"2020-01-17",nation,S92000003,Scotland,
"2020-01-16",nation,S92000003,Scotland,
"2020-01-15",nation,S92000003,Scotland,
"2020-01-14",nation,S92000003,Scotland,
"2020-01-13",nation,S92000003,Scotland,
"2020-01-12",nation,S92000003,Scotland,
"2020-01-11",nation,S92000003,Scotland,
"2020-01-10",nation,S92000003,Scotland,
"2020-01-09",nation,S92000003,Scotland,
"2020-01-08",nation,S92000003,Scotland,
"2020-01-07",nation,S92000003,Scotland,
"2020-01-06",nation,S92000003,Scotland,
"2020-01-05",nation,S92000003,Scotland,
"2020-01-04",nation,S92000003,Scotland,
"2020-01-03",nation,S92000003,Scotland,